ID,Titel,Autor_in,Geburtsort,Breitengrad,Längengrad,Erscheinungsjahr
1,Harry Potter and the Philosopher's Stone,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213314",,1997
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213315",,1998
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213316",,1999
4,Harry Potter and the Goblet of Fire,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213317",,2000
5,Harry Potter and the Order of the Phoenix,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213318",,2003
6,Harry Potter and the Halfblood Prince,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213319",,2005
7,Harry Potter and the Deathly Hallows,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213320",,2007
8,The Tales of Beedle the Bard,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213321",,2008
9,The Danish Girl,David Ebershoff,"Los Angeles, USA","34.05430169225409, -118.24698630774257",,2000
10,The Selected Illustrated Works of Charles Dickens,Charles Dickens,"Portsmouth, GB-ENG","50.821418346755365, -1.090209448692862",,2010
11,The Name of the Rose,Umberto Eco,"Alessandria, IT","44.90779748613086, 8.613050033392277",,1980
12,Brave New World,Aldous Huxley,"Godalming, GB-ENG","51.187953013603355, -0.6136841254870934",,1932
13,"Talk, talk",T.C Boyle,"Peekskill, USA","41.2865452361351, -73.91701888912793",,2006
14,The bad girl,Mario Vargas Llosa,"Arequipa, PE","-16.40800157801278, -71.53815397754603",,2006
15,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Washington D. C., USA","38.928934107681044, -77.00428780263454",,2005
16,Ich soll nicht lügen,Sarah J. Naughton,-,,,2017
17,"Girl, Woman, Other",Bernadine Evaristo,"London, GB-ENG","51.52659925857104, -0.1139950691281671",,2019
18,Crazy rich asians,Kevin Kwan,"Singapur, SG","1.3565566175979322, 103.86620844056677",,2013
19,The complete Sherlock Holmes,Sir Arthur Conan Doyle,"Edinburgh, GB-SCT","55.95599088976449, -3.1881747472344",,1914
20,This is how it always is,Laurie Frankel,-,,,2017
21,Die Berufene,M. R. Carey,"Liverpool, GB-ENG","53.39817769938882, -2.898214924526052",,2014
22,Carry On,Rainbow Rowell,-,,,2015
23,The Hundred-Foot Journey,Richard C. Morais,"Lissabon, PT","38.7341322230288, -9.13253251075313",,2008
24,Normal People,Sally Rooney,"Castlebar, IR","53.848030554149325, -9.284544380263698",,2018
25,Conversations with friends,Sally Rooney,"Castlebar, IR","53.848030554149325, -9.284544380263698",,2017
26,History is all you left me,Adam Silvera,"New York City, USA","40.61171771741728, -73.98796541164563",,2017
27,Ich. darf. nicht. schlafen,S. J. Watson,"London, GB-ENG","51.52659925857104, -0.1139950691281671",,2014
28,The Great Gatsby,F. Scott Fitzgerald,"Saint Paul, USA","44.960582124205324, -93.1372984075783",,1925
29,The Nest,Cynthia D'aprix Sweeney,"Rochester, USA","43.17357835354024, -77.61366322561705",,2016
30,Muhammad Ali: His Life and Times,Thomas Hauser,"New York City, USA","40.61171771741728, -73.98796541164563",,1991
31,Die Memoiren des Grafen,Agatha Christie,"Torquay, GB-ENG","50.46285869390433, -3.528650119905022",,1925
32,To the Lighthouse,Virginia Woolf,"London, GB-ENG","51.52659925857104, -0.1139950691281671",,1927
33,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,Jonas Jonasson,"Växyö, SE","56.870853762109235, 14.781647774532072",,2012
34,Die sonderbare Buchhandlung des Mr. Penumbra,Robin Sloan,"Troy, USA","42.582774622342924, -83.18204063578101",,2014
35,The Hobbit,J. R. R. Tolkien,"Bloemfontein, ZA","-29.080936569562365, 26.146306699427665",,1937
36,Alan Turing: The Enigma,Andrew Hodges,"London, GB-ENG","51.52659925857104, -0.1139950691281671",,1983
37,Das Mädchen mit dem Perlenohrring,Tracy Chevalier,"Washington D.C., USA","38.928934107681044, -77.00428780263454",,2000
38,Good as Gone,Amy Gentry,"Houston, USA","29.76682723279579, -95.4040889504182",,2016
39,Harry Potter à l'école des sorciers ,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213314",,1997
40,Little Women,Louisa May Alcott,"Philadelphia, USA","39.99189323504445, -75.18670416212697",,1868
41,Jane Eyre,Charlotte Brontë,"Bradford, GB-ENG","53.7912979417901, -1.8079209851576556",,1847
42,Zurück zu dir,Marc Levy,"Boulogne-Billancourt, FR","48.839635831535745, 2.2422140294179544",,2005
43,Eine englische Ehe ,Claire Fuller,-,,,2017
45,Moon Palace,Paul Auster,"Newark, USA","40.7375058958407, -74.18034159385637",,1989
46,Body and Soul,Frank Conroy,"New York City, USA","40.61171771741728, -73.98796541164563",,1993
47,A million little pieces,James Frey,"Cleveland, USA","41.52932499782905, -81.75530950475773",,2003
48,Bridge of clay,Markus Zusak,"Sydney, AU","-33.84336462180387, 151.31919771806375",,2018
49,"It's not how good you are, it's how good you want to be",Paul Arden,-,,,2007
50,"Whatever You Think, Think The Opposite",Paul Arden,-,,,2006
51,Stay with me,Ayọ̀bámi Adébáyọ̀,"Lagos, NG","6.529616903794392, 3.3828222494951716",,2017
52,Stolz und Vorurteil,Jane Austen,"Steventon, GB-ENG","51.22855091083141, -1.2260141206051538",,1813
53,Whiteout,Ken Follet,"Cardiff, GB-WLS","51.49281555432808, -3.2095155436667677",,2004
54,The Rosie Project,Graeme Simsion,-,,,2014
55,The Rosie Effect,Graeme Simsion,-,,,2014
56,The Rosie Result,Graeme Simsion,-,,,2019
57,The Circle,Dave Eggers,"Boston, USA","42.33101821439853, -70.99982070501969",,2013
58,The perfect girl,Gilly Macmillan,-,,,2016
59,Mitternachtskinder,Salman Rushdie,"Mumbai, IN","19.0950169793139, 72.77538756197116",,2013
60,Noch so eine Tatsache über die Welt,Brooke Davis,"Bellbrae, AU","-38.39092845032171, 144.26415585968374",,2015
61,Michelangelo,Irving Stone,"San Francisco, USA","37.75876500690793, -122.5224036321842",,1961
62,the sun and her flowers,Rupi Kaur,"Punjab, IN","30.286593027463393, 75.1598853213246",,2017
63,Very good lives: The Fringe Benefits of Failure and Importance of Imagination,J.K. Rowling,"Yate, GB-ENG","51.544207212180396, -2.41498861213314",,2015
64,I'll give you the sun,Jandy Nelson,-,,,2014
