ID,Titel,Autor_in,Geburtsort,Erscheinungsjahr
1,Harry Potter and the Philosopher's Stone,J.K. Rowling,"Yate, GB-ENG",1997
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,"Yate, GB-ENG",1998
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Yate, GB-ENG",1999
4,Harry Potter and the Goblet of Fire,J.K. Rowling,"Yate, GB-ENG",2000
5,Harry Potter and the Order of the Phoenix,J.K. Rowling,"Yate, GB-ENG",2003
6,Harry Potter and the Halfblood Prince,J.K. Rowling,"Yate, GB-ENG",2005
7,Harry Potter and the Deathly Hallows,J.K. Rowling,"Yate, GB-ENG",2007
8,The Tales of Beedle the Bard,J.K. Rowling,"Yate, GB-ENG",2008
9,The Danish Girl,David Ebershoff,"Los Angeles, USA",2000
10,The Selected Illustrated Works of Charles Dickens,Charles Dickens,"Portsmouth, GB-ENG",2010
11,The Name of the Rose,Umberto Eco,"Alessandria, IT",1980
12,Brave New World,Aldous Huxley,"Godalming, GB-ENG",1932
13,"Talk, talk",T.C Boyle,"Peekskill, USA",2006
14,The bad girl,Mario Vargas Llosa,"Arequipa, PE",2006
15,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Washington D. C., USA",2005
16,Ich soll nicht lügen,Sarah J. Naughton,-,2017
17,"Girl, Woman, Other",Bernadine Evaristo,"London, GB-ENG",2019
18,Crazy rich asians,Kevin Kwan,"Singapur, SG",2013
19,The complete Sherloc Holmes,Sir Arthur Conan Doyle,"Edinburgh, GB-SCT",1914
20,This is how it always is,Laurie Frankel,-,2017
21,Die Berufene,M. R. Carey,"Liverpool, GB-ENG",2014
22,Carry On,Rainbow Rowell,-,2015
23,The Hundred-Foot Journey,Richard C. Morais,"Lissabon, PT",2008
24,Normal People,Sally Rooney,"Castlebar, IR",2018
25,Conversations with friends,Sally Rooney,"Castlebar, IR",2017
26,History is all you left me,Adam Silvera,"New York City, USA",2017
27,Ich. darf. nicht. schlafen,S. J. Watson,"London, GB-ENG",2014
28,The Great Gatsby,F. Scott Fitzgerald,"Saint Paul, USA",1925
29,The Nest,Cynthia D'aprix Sweeney,"Rochester, USA",2016
30,Muhammad Ali: His Life and Times,Thomas Hauser,"New York City, USA",1991
31,Die Memoiren des Grafen,Agatha Christie,"Torquay, GB-ENG",1925
32,To the Lighthouse,Virginia Woolf,"London, GB-ENG",1927
33,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,Jonas Jonasson,"Växyö, SE",2012
34,Die sonderbare Buchhandlung des Mr. Penumbra,Robin Sloan,"Troy, USA",2014
35,The Hobbit,J. R. R. Tolkien,"Bloemfontein, ZA",1937
36,Alan Turing: The Enigma,Andrew Hodges,"London, GB-ENG",1983
37,Das Mädchen mit dem Perlenohrring,Tracy Chevalier,"Washington D.C., USA",2000
38,Good as Gone,Amy Gentry,"Houston, USA",2016
39,Harry Potter à l'école des sorciers ,J.K. Rowling,"Yate, GB-ENG",1997
40,Little Women,Louisa May Alcott,"Philadelphia, USA",1868
41,Jane Eyre,Charlotte Brontë,"Bradford, GB-ENG",1847
42,Zurück zu dir,Marc Levy,"Boulogne-Billancourt, FR",2005
43,Eine englische Ehe ,Claire Fuller,-,2017
45,Moon Palace,Paul Auster,"Newark, USA",1989
46,Body and Soul,Frank Conroy,"New York City, USA",1993
47,A million little pieces,James Frey,"Cleveland, USA",2003
48,Bridge of clay,Markus Zusak,"Sydney, AU",2018
49,"It's not how good you are, it's how good you want to be",Paul Arden,-,2007
50,"Whatever You Think, Think The Opposite",Paul Arden,-,2006
51,Stay with me,Ayọ̀bámi Adébáyọ̀,"Lagos, NG",2017
52,Stolz und Vorurteil,Jane Austen,"Steventon, GB-ENG",1813
53,Whiteout,Ken Follet,"Cardiff, GB-WLS",2004
54,The Rosie Project,Graeme Simsion,-,2014
55,The Rosie Effect,Graeme Simsion,-,2014
56,The Rosie Result,Graeme Simsion,-,2019
57,The Circle,Dave Eggers,"Boston, USA",2013
58,The perfect girl,Gilly Macmillan,-,2016
59,Mitternachtskinder,Salman Rushdie,"Bombay, IN",2013
60,Noch so eine Tatsache über die Welt,Brooke Davis,"Bellbrae, AU",2015
61,Michelangelo,Irving Stone,"San Francisco, USA",1961
62,the sun and her flowers,Rupi Kaur,"Punjab, IN",2017
63,Very good lives: The Fringe Benefits of Failure and Importance of Imagination,J.K. Rowling,"Yate, GB-ENG",2015
64,I'll give you the sun,Jandy Nelson,-,2014
