ID,Titel,Autor_in,Geburtsort,Breitengrad,Längengrad,Erscheinungsjahr,Iso-alpha,Groesse
1,Harry Potter and the Philosopher's Stone,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,1997,GBR,30
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,1998,GBR,30
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,1999,GBR,30
4,Harry Potter and the Goblet of Fire,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,2000,GBR,30
5,Harry Potter and the Order of the Phoenix,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,2003,GBR,30
6,Harry Potter and the Halfblood Prince,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,2005,GBR,30
7,Harry Potter and the Deathly Hallows,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,2007,GBR,30
8,The Tales of Beedle the Bard,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,2008,GBR,30
9,The Danish Girl,David Ebershoff,"Los Angeles, USA",3.405.430.169.225.400,", -118.24698630774257",2000,USA,30
10,The Selected Illustrated Works of Charles Dickens,Charles Dickens,"Portsmouth, GB-ENG",50.821.418.346.755.300,-1.090.209.448.692.860,2010,GBR,30
11,The Name of the Rose,Umberto Eco,"Alessandria, IT",4.490.779.748.613.080,8.613.050.033.392.270,1980,ITA,30
12,Brave New World,Aldous Huxley,"Godalming, GB-ENG",51.187.953.013.603.300,-6.136.841.254.870.930,1932,GBR,30
13,"Talk, talk",T.C Boyle,"Peekskill, USA",412.865.452.361.351,-7.391.701.888.912.790,2006,USA,30
14,The bad girl,Mario Vargas Llosa,"Arequipa, PE",-1.640.800.157.801.270,-7.153.815.397.754.600,2006,PER,30
15,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Washington D. C., USA",38.928.934.107.681.000,-7.700.428.780.263.450,2005,USA,30
16,Ich soll nicht lügen,Sarah J. Naughton,-,,,2017,-,30
17,"Girl, Woman, Other",Bernadine Evaristo,"London, GB-ENG",5.152.659.925.857.100,-1.139.950.691.281.670,2019,GBR,30
18,Crazy rich asians,Kevin Kwan,"Singapur, SG",13.565.566.175.979.300,10.386.620.844.056.600,2013,SGP,30
19,The complete Sherlock Holmes,Sir Arthur Conan Doyle,"Edinburgh, GB-SCT",5.595.599.088.976.440,-31.881.747.472.344,1914,GBR,30
20,This is how it always is,Laurie Frankel,-,,,2017,-,30
21,Die Berufene,M. R. Carey,"Liverpool, GB-ENG",5.339.817.769.938.880,-2.898.214.924.526.050,2014,GBR,30
22,Carry On,Rainbow Rowell,-,,,2015,-,30
23,The Hundred-Foot Journey,Richard C. Morais,"Lissabon, PT",387.341.322.230.288,-913.253.251.075.313,2008,PRT,30
